model loaded successfully
/scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas

image 65/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-17.jpg: 1088x1920 1 Porca dobradica, 80.6ms
image 66/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-20.jpg: 1088x1920 1 Porca retangular, 81.0ms
image 67/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-22.jpg: 1088x1920 1 Porca retangular, 81.2ms
image 68/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-23.jpg: 1088x1920 1 Porca retangular, 81.2ms
image 69/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-25.jpg: 1088x1920 1 Porca retangular, 81.7ms
image 70/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-27.jpg: 1088x1920 1 Porca retangular, 81.0ms
image 71/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-29.jpg: 1088x1920 1 Porca gaiola, 83.0ms
image 72/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-31.jpg: 1088x1920 1 Porca gaiola, 82.7ms
image 73/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-33.jpg: 1088x1920 (no detections), 81.4ms
image 74/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-35.jpg: 1088x1920 1 Porca gaiola, 82.3ms
image 75/75 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Porcas/2024-04-19_15-51-38.jpg: 1088x1920 1 Porca gaiola, 81.1ms
Speed: 14.4ms preprocess, 81.6ms inference, 1.5ms postprocess per image at shape (1, 3, 1088, 1920)
Results saved to [1mruns/detect/predict2[0m
123 labels saved to runs/detect/predict2/labels
/scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Parafusos

image 1/95 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Parafusos/2024-04-19_15-22-51.jpg: 1088x1920 1 Parafuso de cabeca cilindrica com sextavado interno e com rosca parcial, 81.3ms
image 2/95 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Parafusos/2024-04-19_15-22-53.jpg: 1088x1920 1 Parafuso de cabeca cilindrica com sextavado interno e com rosca parcial, 80.9ms
image 3/95 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Parafusos/2024-04-19_15-22-55.jpg: 1088x1920 1 Parafuso de cabeca cilindrica com sextavado interno e com rosca parcial, 81.0ms
image 4/95 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Parafusos/2024-04-19_15-22-57.jpg: 1088x1920 1 Parafuso de cabeca cilindrica com sextavado interno e com rosca parcial, 81.1ms
